N,C Iterative,C Memoization,Rust Iterative,Rust Memoization
596,0.00211,0.001627,0.001807,0.001949
597,0.001974,0.001679,0.001904,0.001979
598,0.002066,0.001736,0.00192,0.001894
599,0.001907,0.001799,0.001848,0.001904
600,0.001949,0.00188,0.001954,0.001862
601,0.001903,0.001644,0.002275,0.001959
602,0.001873,0.001668,0.002094,0.00192
603,0.001919,0.001752,0.002133,0.00191
604,0.001848,0.001657,0.001843,0.00211
605,0.001871,0.001676,0.001919,0.002045
606,0.00189,0.001621,0.001991,0.001988
607,0.002136,0.001694,0.0019,0.001955
608,0.002057,0.001717,0.001836,0.00194
609,0.002016,0.001665,0.00182,0.001966
610,0.001927,0.001792,0.001844,0.001832
611,0.002025,0.001793,0.001802,0.00184
612,0.001913,0.001733,0.002122,0.001914
613,0.001855,0.00162,0.001982,0.001838
614,0.001815,0.001653,0.001937,0.002002
615,0.00184,0.001621,0.001908,0.002067
616,0.001912,0.001647,0.001866,0.002098
617,0.001891,0.001611,0.001782,0.001958
618,0.002039,0.001675,0.001845,0.001938
619,0.001957,0.00176,0.001915,0.001928
620,0.002018,0.001928,0.001891,0.001938
621,0.002008,0.001793,0.001897,0.00191
622,0.002039,0.001963,0.001954,0.001864
623,0.001971,0.00167,0.001983,0.001983
624,0.001922,0.001811,0.002054,0.001922
625,0.00188,0.001634,0.00193,0.001964
626,0.001896,0.001656,0.001857,0.002069
627,0.001938,0.001608,0.001875,0.002053
628,0.002004,0.001661,0.00188,0.002111
